View Name,Logical(GB),Storage Consumed(GB),Data Written (GB),Resiliency (GB),Logical Quota (GB),QOS Type,Protocol Supported,View ID
pure_nfs,0,0,0,0,0,Backup Target Low,kAll,39842909
pure_smb,0,0,0,0,0,Backup Target Low,kSMBOnly,39842903
UN_test_fundaments,150.48,0.15,0.1,0.05,0,TestAndDev High,kNFSOnly,28098069
testview,2.34,1.17,0.78,0.39,20,TestAndDev High,kAll,2020332
cohesity_int_1294543,0,0,0,0,0,,,
VadiNas,0,0,0,0,0,,,
new,0,0,0,0,0,,,
duett_clone,0,0,0,0,0,,,
ArchiveNAS,0,0,0,0,0,,,
NAS-view,0,0,0,0,0,,,
jaspreet_test,0,0,0,0,0,,,
